,collection,model_uuid,time_built,model_type,featurizer,features,splitter,split_strategy,split_uuid,umap_dim,umap_targ_wt,umap_neighbors,umap_min_dist,layer_sizes,dropouts,learning_rate,best_epoch,max_epochs,rf_estimators,rf_max_features,rf_max_depth,xgb_gamma,xgb_learning_rate,dataset_bucket,dataset_key,dataset_size,parameter,train_size,train_roc_auc_score,train_prc_auc_score,train_accuracy_score,train_precision,train_recall_score,train_matthews_cc,valid_size,valid_roc_auc_score,valid_prc_auc_score,valid_accuracy_score,valid_precision,valid_recall_score,valid_matthews_cc,test_size,test_roc_auc_score,test_prc_auc_score,test_accuracy_score,test_precision,test_recall_score,test_matthews_cc
29,./content,0a9ede86-2914-498f-a4be-bfc79c14880e,1673260954,xgboost,ecfp,ecfp,scaffold,train_valid_test,460ed7f1-9092-45b4-9ae8-bee41e0fd44a,,,,,,,,,,,,,0.3,0.2,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.997957015,0.945201451,0.965048148,0.923534654,0.849451582,0.951448048,3944,0.953658879,0.721372631,0.915567951,0.843238216,0.633309163,0.866526934,4387,0.951999772,0.67913119,0.896284477,0.74378751,0.58203025,0.845796138
30,./content,f7561f7d-4b2a-4f4b-8612-7224a8f8f918,1673258527,xgboost,ecfp,ecfp,scaffold,train_valid_test,4aff9078-716d-467b-b965-5b81b9786a16,,,,,,,,,,,,,0.5,0.2,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.997796572,0.941293575,0.963927243,0.92230269,0.84295027,0.949883291,3944,0.951501204,0.722085735,0.918864097,0.834446065,0.646547577,0.872008831,4387,0.951172907,0.678889572,0.893321176,0.747298434,0.576966027,0.841562264
31,./content,10d6ac25-e7ec-47f9-b184-9b8235e74686,1673260085,xgboost,ecfp,ecfp,scaffold,train_valid_test,1441b08e-15b1-4abe-bcf2-838a43314625,,,,,,,,,,,,,1,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.997598659,0.934351547,0.965914302,0.929032758,0.827138971,0.952648638,3944,0.950020136,0.725844288,0.91658215,0.815079554,0.644556029,0.868246611,4387,0.957054138,0.679619309,0.895600638,0.751654555,0.573783476,0.844897667
32,./content,d3a7cda3-2f86-40a0-8594-c1ee7275b151,1673258004,xgboost,ecfp,ecfp,scaffold,train_valid_test,641dd86f-4d8d-42b5-92b6-37454d164f08,,,,,,,,,,,,,0.3,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.998160621,0.947291624,0.968410863,0.927224397,0.853587745,0.956130556,3944,0.947724406,0.711236806,0.9168357,0.755673524,0.616456605,0.86873643,4387,0.953072011,0.675036083,0.895372692,0.813799818,0.563532668,0.844294703
33,./content,825e994b-1f3d-43c2-9026-36aa7de3fd1e,1673259743,xgboost,ecfp,ecfp,scaffold,train_valid_test,9950a82d-9deb-429d-9dfa-903e348375a0,,,,,,,,,,,,,0.5,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.998067138,0.944314272,0.967595659,0.924448304,0.848522684,0.954994748,3944,0.945936788,0.71447531,0.920131846,0.850738725,0.650106069,0.873798764,4387,0.954821042,0.674892858,0.895144746,0.819011923,0.568373998,0.844067376
34,./content,82593479-aeb4-4f9f-8d09-1f4671d26022,1673258691,xgboost,ecfp,ecfp,scaffold,train_valid_test,ee2a64f7-4db3-4962-86d0-4bd764ef1b95,,,,,,,,,,,,,1,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.997598659,0.934351547,0.965914302,0.929032758,0.827138971,0.952648638,3944,0.950020136,0.725844288,0.91658215,0.815079554,0.644556029,0.868246611,4387,0.957054138,0.679619309,0.895600638,0.751654555,0.573783476,0.844897667
35,./content,2ac94ca5-d5dd-4974-b1b5-06882a4d8363,1673260603,xgboost,ecfp,ecfp,scaffold,train_valid_test,baafc1db-a325-41d6-95e5-2384b7d18ee9,,,,,,,,,,,,,0.1,0.2,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.997982517,0.946578691,0.965302899,0.922496165,0.855273412,0.951809584,3944,0.953868616,0.728285894,0.919371197,0.810359762,0.641589887,0.872796592,4387,0.95238619,0.680924038,0.896968315,0.746409482,0.580763276,0.846885764
36,./content,94741458-c102-4045-a894-e55878f47fc9,1673258867,xgboost,ecfp,ecfp,scaffold,train_valid_test,a48c984b-4bcc-4889-98cb-c1c5c7ba2267,,,,,,,,,,,,,1,0.2,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.997346468,0.930804476,0.962551587,0.93458104,0.818677327,0.947956933,3944,0.953354669,0.726815451,0.912778905,0.848222206,0.647296563,0.862575748,4387,0.955679351,0.673846277,0.89309323,0.744287596,0.578819687,0.84126762
37,./content,86bbb564-c9ff-42e8-b7e0-965bc33ac71b,1673258352,xgboost,ecfp,ecfp,scaffold,train_valid_test,e75c5d12-0845-4db7-a965-895c2ae169fd,,,,,,,,,,,,,0.5,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.998067138,0.944314272,0.967595659,0.924448304,0.848522684,0.954994748,3944,0.945936788,0.71447531,0.920131846,0.850738725,0.650106069,0.873798764,4387,0.954821042,0.674892858,0.895144746,0.819011923,0.568373998,0.844067376
38,./content,263f91f1-4505-452a-8610-cd9bd778257c,1673257653,xgboost,ecfp,ecfp,scaffold,train_valid_test,45bf043a-24a9-4116-897c-113e724e95f2,,,,,,,,,,,,,0.1,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.9982588,0.949712416,0.969327967,0.923654553,0.863515535,0.957409394,3944,0.953193591,0.708881614,0.913793103,0.779349443,0.604411207,0.863828776,4387,0.950128672,0.676668067,0.896512423,0.811092899,0.568638998,0.846260788
39,./content,90ee3891-cbbc-4e8c-beda-487d3cc98f6f,1673259394,xgboost,ecfp,ecfp,scaffold,train_valid_test,a17926d3-1eb5-40f6-a6ec-6bd1cbd39607,,,,,,,,,,,,,0.3,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.998160621,0.947291624,0.968410863,0.927224397,0.853587745,0.956130556,3944,0.947724406,0.711236806,0.9168357,0.755673524,0.616456605,0.86873643,4387,0.953072011,0.675036083,0.895372692,0.813799818,0.563532668,0.844294703
40,./content,032e7929-2b4b-4795-bcdc-a2ed8163ea48,1673259038,xgboost,ecfp,ecfp,scaffold,train_valid_test,f8f90449-fc44-4598-b18b-cd4f8626389a,,,,,,,,,,,,,0.1,0.25,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_xgboost/data_ready_to_model.csv,27958,label,19627,0.9982588,0.949712416,0.969327967,0.923654553,0.863515535,0.957409394,3944,0.953193591,0.708881614,0.913793103,0.779349443,0.604411207,0.863828776,4387,0.950128672,0.676668067,0.896512423,0.811092899,0.568638998,0.846260788
